Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
;"RPDDK02 részlet";HU;Őrség;2026-05-30;1;;gyalogos;normal;27;;300;;;;0;0;1;0;47
558GY;"Rax - mászótábor 2026";AT;Niederösterreich;2026-05-24;3;sator;gyalogos;normal;15.2;1.8;1153;173;;csillag;2;0;6;0;60
556GY;Vértes-tábor;HU;Vértes;2026-05-02;1;;gyalogos;normal;12.9;;361;;;;0;0;0;0;27
544GY;"Szerbia - Tara Nemzeti Park";RS;Dinári-hegység;2026-05-01;4;hotel;gyalogos;normal;32;;1522;;;csillag;0;0;0;18;78
456;"Petőfi Túra 70 TT";HU;Kiskunság;2026-04-25;1;;gyalogos;normal;72;;300;;16;;0;0;0;0;114
555GY;"Gánt - bauxit bánya";HU;Vértes;2026-04-17;1;;gyalogos;normal;11.3;;277;;;;0;0;0;0;22
452;"Zálog-bérc kör";HU;Börzsöny;2026-04-12;1;;gyalogos;normal;15;;400;;6;;0;0;1;0;31
455;"Strázsa Honvéd TT";HU;Alföld;2026-04-11;1;;gyalogos;normal;46;;186;;12;;0;0;0;0;73
454;"Dél-Dunántúli piros";HU;Dunántúli-domság;2026-04-08;1;;gyalogos;normal;24;;350;;6;;0;0;0;0;43
554GY;Kő-hegyek;HU;Börzsöny;2026-04-06;1;;gyalogos;normal;14;;257;;;;0;0;0;0;26
553GY;Margita;HU;Gödöllői-dombság;2026-04-05;1;;gyalogos;normal;11;;257;;;;0;0;0;0;22
453;"Bükki Kéktúra jelvényszerző túramozgalom";HU;Bükk;2026-04-05;1;;gyalogos;normal;26;;1000;;7;;0;0;0;0;59
543GY;"Kanyonok Dalmáciában: Krupa és Paklenica";HR;Velebit;2026-04-03;4;apartman;gyalogos;normal;44;;1828;;;csillag;0;0;0;20;103
552GY;Csákányospuszta;HU;Vértes;2026-03-29;1;;gyalogos;normal;13.1;;393;;;;0;0;0;0;28
551GY;Péliföldszentkereszt;HU;Gerecse;2026-03-28;1;;gyalogos;normal;10.2;;338;;;;0;0;0;0;22
550GY;Széna-hegy;HU;Budai-hegység;2026-03-22;1;;gyalogos;normal;13;;397;;;;0;0;0;0;27
549GY;"Nagy-Kopasz kör";HU;Budai-hegység;2026-03-21;1;;gyalogos;normal;9.8;;301;;;;0;0;0;0;21
447;"Felfedező túra Nomádhoz";HU;Börzsöny;2026-03-21;1;;gyalogos;normal;17;;706;;4;;0;0;0;0;40
448;"Kincsem 40 teljesítménytúra";HU;Tápióvidék;2026-03-21;1;;gyalogos;normal;40;;84;;10;;0;0;0;0;65
548GY;"Normafa - János-hegy";HU;Budai-hegység;2026-03-08;1;;gyalogos;normal;10.8;;398;;;;0;0;0;0;24
446;"Holdvilág-árok kör";HU;Pilis;2026-03-08;1;;gyalogos;normal;14;;725;;4;;0;0;1;0;36
547GY;"Sorrento - Kakukk-hegy";HU;Budai-hegység;2026-03-07;1;;gyalogos;normal;10.2;;339;;;;0;0;0;0;22
445;"Malom Kör – 20";HU;Börzsöny;2026-02-28;1;;gyalogos;normal;21;;722;;7;;0;0;0;0;49
444;"Kis-Maros - Zebegény";HU;Börzsöny;2026-02-22;1;;gyalogos;normal;16;;371;;5;;0;0;0;0;34
443;"(Jég)csepegő kövek a Mecsekben";HU;Mecsek;2026-02-21;2;turistahaz;gyalogos;normal;27.1;;1053;;10;csillag;1;0;0;6;69
546GY;Budakeszi;HU;Budai-hegység;2026-02-14;1;;gyalogos;normal;11.6;;458;;;;0;0;0;0;30
441;"Tanúhegyek hósipkában";HU;Balaton-felvidék;2026-01-24;1;hotel;gyalogos;normal;17;;585;;6;csillag;1;0;0;7;41
442;"Dél-Dunántúli Kéktúra 09-es szakasz.";HU;Mecsek;2026-01-24;1;;gyalogos;normal;11;;564;;4;;0;0;1;0;31
440;"Julianus-kilátó classic";HU;Börzsöny;2026-01-17;1;;gyalogos;normal;11;;496;;5;;0;0;0;0;29
439;"Téli Kevély kör";HU;Pilis;2026-01-11;1;;gyalogos;normal;11;;634;;3;;0;0;0;0;32
438;"Közép-dunántúli Piros Túra túramozgalom";HU;Bakony;2025-12-22;1;;gyalogos;normal;20;;424;;6;;0;0;0;0;41
435;"Food Film Hikers #1";HU;Budai-hegység;2025-12-20;1;;gyalogos;normal;17;;612;;6;;0;0;4;0;41
437;"Tortúra 65 TT";HU;Bükk;2025-12-20;1;;gyalogos;normal;64;;1849;;16;;0;0;0;0;136
434;"Évzáró 2025";HU;Pilis;2025-12-06;2;turistahaz;gyalogos;normal;15;;616;;6;csillag;1;0;0;7;42
433;"Edző túra - Pilistető direkt";HU;Pilis;2025-11-29;1;;gyalogos;normal;17;;882;;4;;0;0;0;0;43
436;"Tanúhegyek nyomában 40 TT";HU;Balatonfelvidék;2025-11-29;1;;gyalogos;normal;42;;1600;;10;;0;0;0;0;95
432;"Túra és Társas";HU;Börzsöny;2025-11-01;1;;gyalogos;normal;17;;553;;6;;0;0;3;0;37
409;"Kovács Beáta emléktúra – Egercsehi 45";HU;Heves–Borsodi-dombság;2025-10-25;1;;gyalogos;normal;50;;1465;;11;;0;0;0;0;104
410;"Kohászok Útja jelvényszerző túramozgalom";HU;Nógrád-Gömöri-bazaltvidék;2025-10-25;1;;gyalogos;normal;25;;790;;6;;0;0;0;0;53
431;"Börzsönyi chill";HU;Börzsöny;2025-10-24;1;;gyalogos;normal;8;;316;;3;;0;0;2;0;18
542GY;"Két nap Börzsöny";HU;Börzsöny;2025-10-10;2;turistahaz;gyalogos;normal;;;;;;;0;0;0;7;0
430;"Kéktúra finish";HU;Zemplén;2025-10-05;1;;gyalogos;normal;16;;642;;5;;0;0;0;0;37
408;"Kemence - Csóványos";HU;Börzsöny;2025-10-04;1;;gyalogos;normal;21;;799;;8;;0;0;0;0;47
429;"Csapatépítő túravezetés";SK;"Szlovák Paradicsom";2025-09-27;2;turistahaz;gyalogos;normal;21;;883;;10;csillag;1;0;19;0;50
405;"Közép-dunántúli Piros jelvényszerző túramozgalom";HU;Vértes;2025-09-17;1;;gyalogos;normal;21;;261;;5;;0;0;0;0;37
404;"Geogo instant túra";HU;Kiskunság;2025-09-16;1;;gyalogos;normal;13;;67;;3;;0;0;0;0;24
403;"Kecskeméti ""felemás"" Geogo túratervezet";HU;Kiskunság;2025-09-15;1;;gyalogos;normal;16;;100;;4;;0;0;0;0;29
407;"Dömös #beatyesterday";HU;Pilis;2025-09-14;1;;gyalogos;normal;17;;639;;5;;0;0;0;0;38
402;Tápiószele;HU;Tápióvidék;2025-09-13;1;;gyalogos;normal;25;;50;;6;;0;0;0;0;42
398;"Libaterelő 27 teljesítménytúra";HU;Tápióvidék;2025-09-06;1;;gyalogos;normal;27;;460;;6;;0;0;0;0;50
397;;HU;Mecsek;2025-08-30;1;;gyalogos;normal;40;;800;;10;;0;0;0;0;76
428;"Csúcstámadás térdfájás miatt meghiúsult";GE;Kazbegi;2025-08-21;4;sator;gyalogos;normal;44;;2503;;22;vandor;3;0;1;0;125
426;"Olympus, Petros csúcs, Meteórák";GR;Halkidiki;2025-08-08;4;turistahaz;gyalogos;normal;19.6;13;1229;1436;2;csillag;4;0;1;0;154
424;"Vadvizi kajak tanfolyam";AT;"Salza völgye";2025-07-30;4;turistahaz;vizi;folyasirany;40;;0;;25;csillag;4;6;2;0;62
396;"Kohász Kék jelvényszerző túramozgalom";HU;Bükk;2025-07-26;1;;gyalogos;normal;27;;506;;6;;0;0;0;0;51
423;"Fehér-tavi csúcs - csúcs nélkül";SK;Magas-Tátra;2025-07-26;2;apartman;gyalogos;normal;28;;1562;;10;vandor;1;0;0;15;76
541V;"Ipoly 2025";HU;Ipolyság;2025-07-19;2;sator;vizi;folyasirany;36;;;;;vandor;1;2;0;10;45
421;"SUP Ipoly bejárás";HU;Ipolyság;2025-07-17;1;;vizi;folyasirany;9;;0;;3;;0;0;0;0;9
406;"Csemő Virágünnepe 20 Teljesítménytúra";HU;Nagykunság;2025-07-05;1;;gyalogos;normal;18;;25;;4;;0;0;0;0;31
420;Vadálló-kövek;HU;Pilis;2025-06-29;1;;gyalogos;normal;17;;1118;;4;;0;0;0;0;48
395;"Rockenbauer Pál Dél-dunántúli Kéktúra";HU;Dunántúli-domság;2025-06-29;1;;gyalogos;normal;37;;800;;9;;0;0;0;0;72
394;"Rockenbauer Pál Dél-dunántúli Kéktúra";HU;Dunántúli-domság;2025-06-28;1;;gyalogos;normal;41;;840;;10;;0;0;0;0;78
393;"Rockenbauer Pál Dél-dunántúli Kéktúra";HU;Dunántúli-domság;2025-06-27;1;;gyalogos;normal;26;;250;;7;;0;0;0;0;44
392;"Szent Iván éji Sóút Teljesítménytúra 15";HU;Alföld;2025-06-21;1;;gyalogos;normal;15;;50;;2;;0;0;0;0;27
391;"Olasz-kaputól Olasz-kapuig";HU;Bükk;2025-06-14;1;;gyalogos;normal;16;;370;;5;;0;0;0;0;31
419;"Pádis kevésbé látogatott részei";RO;Pádis;2025-06-07;3;apartman;gyalogos;normal;34;;1603;;16;csillag;2;0;0;15;85
390;"BükKiNyúlsz! 40 Teljesítménytúra";HU;Bükk;2025-06-07;1;;gyalogos;normal;41;;1406;;9;;0;0;0;0;90
401;"Mackó 20 TT";HU;Tápióvidék;2025-05-31;1;;gyalogos;normal;21;;158;;4;;0;0;0;0;35
418;"Pilistető-Vaskapu edzés";HU;Pilis;2025-05-31;1;;gyalogos;normal;15;;1075;;3;;0;0;0;0;44
388;"Sarokkő SE - Légből kapott túra 24 km";HU;Budai-hegység;2025-05-25;1;;gyalogos;normal;24;;620;;5;;0;0;0;0;48
400;"Nyakvágó TT";HU;Kiskunság;2025-05-24;1;;gyalogos;normal;35;;78;;8;;0;0;0;0;57
417;"Országos Kék Túra - Alíz kísérős";HU;Cserehát;2025-05-24;1;;gyalogos;normal;42;;837;;12;;1;0;0;0;80
387;"Rockenbauer Pál - Dél-Dúnántúli Kéktúra";HU;Dunántúli-domság;2025-05-21;1;;gyalogos;normal;28;;513;;7;;0;0;0;0;52
386;"Rockenbauer Pál - Dél-Dúnántúli Kéktúra";HU;Dunántúli-domság;2025-05-20;1;;gyalogos;normal;35;;441;;8;;0;0;0;0;61
385;"Rockenbauer Pál - Dél-Dúnántúli Kéktúra";HU;Dunántúli-domság;2025-05-19;1;;gyalogos;normal;12;;114;;3;;0;0;0;0;20
399;"Három Határ TT";HU;Kiskunság;2025-05-10;1;;gyalogos;normal;25;;107;;6;;0;0;0;0;40
416;"Evezés az Öreg-Túron";HU;Szatmár;2025-05-02;2;sator;vizi;folyasirany;38;;0;;13;vandor;1;2;0;13;47
415;OKT-19;HU;Cserehát;2025-04-27;1;;gyalogos;normal;20;;542;;5;;0;0;0;0;41
384;"Petőfi túra 40 teljesítménytúra";HU;Kiskunság;2025-04-26;1;;gyalogos;normal;39;;200;;9;;0;0;0;0;63
383;"Kohászok Útja jelvényszerző túramozgalom";HU;Bükk;2025-04-20;1;;gyalogos;normal;24;;1216;;6;;0;0;0;0;60
414;"Nomád Vértes";HU;Vértes;2025-04-05;2;sator;gyalogos;normal;27;;748;;10;vandor;1;0;0;8;58
381;"RP-DDK jelvényszerző túramozgalom";HU;Dunántúli-domság;2025-03-30;1;;gyalogos;normal;18;;105;;4;;0;0;0;0;29
413;"Lilla szülinapi túrája";SK;Magas-Tátra;2025-03-29;2;turistahaz;gyalogos;normal;20;;817;;8;vandor;1;0;2;0;49
380;"RP-DDK jelvényszerző túramozgalom";HU;Dunántúli-domság;2025-03-29;1;;gyalogos;normal;41;;499;;10;;0;0;0;0;71
379;"RP-DDK jelvényszerző túramozgalom";HU;Dunántúli-domság;2025-03-28;1;;gyalogos;normal;14;;688;;3;;0;0;0;0;35
412;"**Kotló Dülő";HU;Vértes;2025-03-09;1;;gyalogos;normal;12;;432;;4;;0;0;1;0;27
378;"RP-DDK jelvényszerző túramozgalom";HU;Dunántúli-domság;2025-02-02;1;;gyalogos;normal;36;;200;;8;;0;0;0;0;61
377;"RP-DDK jelvényszerző túramozgalom";HU;Dunántúli-domság;2025-02-01;1;;gyalogos;normal;33;;590;;7;;0;0;0;0;64
411;"Ágasvár kör";HU;Mátra;2025-01-19;1;;gyalogos;normal;16;;616;;6;;0;0;2;1;39
389;"Pilisi Nyárkezdő Félmaraton TT";HU;Pilis;2025-01-06;1;;gyalogos;normal;21;;690;;;;0;0;0;0;48
557GY;"Évzáró 2024";HU;Mátra;2024-11-30;2;turistahaz;gyalogos;normal;17;;996;;;vandor;1;0;0;7;48
376;"Kisvasúti emléktúra (Kecskemét KK-Kiskőrös KK) Teljesítménytúra";HU;Alföld;2024-11-30;1;;gyalogos;normal;60;;174;;;;0;0;0;0;93
375;"Országos Kéktúra - Hűvösvölgy";HU;Budai-hegység;2024-11-22;1;;gyalogos;normal;22;;450;;6;;0;0;0;0;42
374;"Rockenbauer Pál Dél-dunántúli Kéktúra jelvényszerző túramozgalom";HU;Dunántúli-domság;2024-11-17;1;;gyalogos;normal;22;;843;;5;;0;0;0;0;50
373;"RP Dél-Dunántúli Kék és Dél-dunántúli Piros";HU;Dunántúli-domság;2024-11-16;1;;gyalogos;normal;38;;842;;8;;0;0;0;0;74
540GY;"Cseh Paradicsom 2024";CZ;"Cseh Óriás-hegység";2024-11-01;3;apartman;gyalogos;normal;24.1;;589;;;csillag;3;0;0;15;51
372;"Közép-dunántúli Piros Túra jelvényszerző túramozgalom";HU;Dunántúli-domság;2024-10-12;1;;gyalogos;normal;21;;250;;5;;0;0;0;0;37
539K;"Tisza tavi bringázás és evezés";HU;Tisza-tó;2024-09-23;2;apartman;kerekparos;mout;84;;100;;;csillag;2;0;0;10;45
538K;"Bringás reggeli #3";HU;Budai-hegység;2024-07-05;1;sator;kerekparos;mout;71;;324;;;vandor;1;0;1;8;42
537V;"Ipoly 2024";HU;Ipolyság;2024-06-16;2;sator;vizi;folyasirany;39;;;;;vandor;1;2;0;10;48
371;"Közép-dunántúli Piros Túra jelvényszerző túramozgalom";HU;Dunántúli-domság;2024-06-15;1;;gyalogos;normal;22;;726;;6;;0;0;0;0;48
368;**;HU;Vértes;2024-05-26;2;turistahaz;gyalogos;normal;21;;450;;12;vandor;1;0;0;0;44
370;"Kinizsi 100";HU;Budai-hegység;2024-05-24;1;;gyalogos;normal;100;;3155;;23;;0;0;0;0;213
369;"Balaton kör";HU;Balaton;2024-05-19;4;apartman;kerekparos;mout;207;;715;;;vandor;4;0;0;0;123
536GY;"Tavaszvégi nomád a Vértes lankáin";HU;Vértes;2024-05-18;2;sator;gyalogos;normal;23;;600;;;vandor;1;0;0;8;50
535K;"Bringázz és Jógázz";HU;Pilis;2024-05-04;1;;kerekparos;mout;28;;98;;;;0;0;0;2;15
367;"Sárga 70 teljesítménytúra";HU;Pilis;2024-05-01;1;;gyalogos;normal;70;;2100;;21;;0;0;0;0;147
534GY;"Dürnstein – az osztrák Dunakanyar";AT;Wachau;2024-04-08;2;hotel;gyalogos;normal;28;;1400;;;csillag;1;0;0;9;71
382;"Strázsa József Attila Emlék-teljesítménytúra 38";HU;Alföld;2024-04-05;1;;gyalogos;normal;37;;142;;8;;0;0;0;0;58
366;"Dél-Dunántúli Piros és  RP-DDK jelvényszerző túramozgalom";HU;Dunántúli-domság;2024-03-24;1;;gyalogos;normal;33;;580;;7;;0;0;0;0;61
365;"Koppány teljesítménytúrák 30";HU;Dunántúli-domság;2024-03-23;1;;gyalogos;normal;27;;620;;5;;0;0;0;0;53
364;"Dunán-innen Dunán-túl 50 Teljesítménytúra";HU;Mezőföld;2024-02-24;1;;gyalogos;normal;47;;218;;10;;0;0;0;0;78
533GY;"Télűző Farsangi túra";HU;Börzsöny;2024-02-23;2;turistahaz;gyalogos;normal;19;;465;;;csillag;1;0;4;5;45
362;;HU;Gerecse;2024-02-18;1;;gyalogos;normal;13;;203;;;;0;0;0;0;27
532GY;Margita;HU;Margita;2024-02-16;1;;gyalogos;normal;17;;485;;;;0;0;0;1;38
363;"RP-DDK és DDP jelvényszerző túramozgalom";HU;Mecsek;2024-02-10;1;;gyalogos;normal;28;;780;;7;;0;0;0;0;61
531GY;"Hópehely fogócska Galyatetőn";HU;Mátra;2024-01-27;2;turistahaz;gyalogos;normal;20.9;;1100;;;csillag;1;0;0;5;60
361;"RP-DDK és DDP jelvényszerző túramozgalom.";HU;Dunántúli-domság;2024-01-20;1;;gyalogos;normal;26;;650;;7;;0;0;0;0;55
530GY;"Téli Nomád - Mátra";HU;Bükk;2024-01-18;2;sator;gyalogos;normal;21;;629;;;vandor;1;0;0;11;53
529GY;"Évzáró 2023";HU;Pilis;2024-01-01;2;turistahaz;gyalogos;normal;12.9;;389;;;csillag;1;0;0;5;34
360;OKT;HU;Bükk;2023-12-30;2;turistahaz;gyalogos;normal;50;;1001;;13;vandor;1;0;0;0;104
359;"Közép-dunántúli Piros Túra jelvényszerző túramozgalom";HU;Vértes;2023-12-16;1;;gyalogos;normal;21;;410;;5;;0;0;0;0;43
358;"Bakonyi Mikulás 40 Teljesítménytúra";HU;Bakony;2023-12-12;1;;gyalogos;normal;38;;810;;9;;0;0;0;0;76
528GY;Gombatúra;HU;Börzsöny;2023-11-27;1;;gyalogos;normal;7;;98;;;;0;0;0;1;15
357;"Közép-dunántúli Piros Túra jelvényszerző túramozgalom";HU;Gerecse;2023-11-23;1;;gyalogos;normal;19;;305;;5;;0;0;0;0;35
527GY;"Geológiai kalandok a Mecsekben";HU;Mecsek;2023-11-18;2;hotel;gyalogos;normal;4.5;;284;;;csillag;1;0;7;5;13
526GY;"Túrázz és jógázz";HU;Pilis;2023-11-04;1;;gyalogos;normal;7;;155;;;;0;0;3;2;14
354;"OKT-27/3 - Füzér-Hollóháza";HU;Zempléni-hegység;2023-10-22;1;;gyalogos;normal;13;;589;;;;0;0;0;0;31
355;;HU;Bükk;2023-10-11;2;turistahaz;gyalogos;normal;42.5;;1355;;;vandor;1;0;0;0;94
525GY;"Sziklatornyok között a Kis-Fátrában";SK;Kis-Fátra;2023-10-07;2;apartman;gyalogos;normal;20;;1850;;;csillag;1;0;3;10;68
356;;HU;Bakony;2023-10-07;1;;gyalogos;normal;69.5;;2045;;16;;0;0;0;0;145
524GY;"Kedélyes Kevélyek";HU;Pilis;2023-10-01;1;;gyalogos;normal;12;;395;;;;0;0;0;1;26
353;"Országos Kéktúra OKT 25-26";HU;"Zempléni-hegység, Cserehát";2023-09-30;2;turistahaz;gyalogos;normal;41;;605;;;vandor;1;0;0;0;77
352;"OKT-19 - Hollókő-Mátraverebély";HU;Cserhát;2023-09-09;2;turistahaz;gyalogos;normal;38;;1151;;;vandor;1;0;0;0;83
351;"Országos Kéktúra - OKT-01";HU;Kőszegi-hegység;2023-09-03;1;;gyalogos;normal;23;;89;;;;0;0;0;0;39
348;"Piros túra";HU;Gödöllői-dombság;2023-08-19;1;;gyalogos;normal;32;;470;;8;;0;0;0;0;57
349;"Kőszeg - Szeleste (OKT)";HU;Kőszegi-hegység;2023-08-19;1;;gyalogos;normal;36;;302;;;;0;0;0;0;60
346;"Retyezát legmagasabb csúcsai";RO;Retyezát;2023-08-04;4;turistahaz;gyalogos;normal;10;29;513;2309;24;csillag;3;0;0;18;211
347;Gensgitschhöhe-Lasaberg;AT;Steiermark/Salzburg;2023-07-30;2;turistahaz;gyalogos;normal;3;13;260;981;;vandor;1;0;0;0;94
522GY;Kis-Viszóka;SK;Magas-Tátra;2023-07-22;2;turistahaz;gyalogos;normal;7.4;10.6;311;1007;;vandor;1;0;3;14;95
345;"Tiszató evezés";HU;Tisza-tó;2023-07-21;1;;vizi;allovi;12;;0;;3;;0;0;0;0;18
350;Balatonfelvidék;HU;Balaton-felvidék;2023-07-15;1;;gyalogos;normal;47;;1175;;11;;0;0;0;0;94
521GY;"Vadálló Kövek";HU;Visegrádi-hegység;2023-07-08;1;;gyalogos;normal;11.8;;504;;;;0;0;3;1;28
344;"UTT 130";HU;Tisza-tó;2023-07-01;1;;kerekparos;mout;130;;118;;12;;0;0;0;0;66
520V;"Kajakozás az RSD Dunán";HU;Duna;2023-06-18;1;;vizi;folyasirany;21;;;;;;0;0;3;4;21
341;"Országos Kéktúra OKT-25/2";HU;Cserehát;2023-06-10;1;;gyalogos;normal;30;;610;;;;0;0;0;0;57
342;"Nosztra 40 teljesítménytúra";HU;Börzsöny;2023-06-10;1;;gyalogos;normal;39;;1600;;8;;0;0;0;0;91
340;;HU;Zemplén;2023-05-23;2;turistahaz;gyalogos;normal;38;;880;;;vandor;2;0;0;0;81
339;;HU;Cserehát;2023-05-21;1;;gyalogos;normal;21;;681;;;;0;0;0;0;45
519GY;"Hiúz Ház 1";HU;Börzsöny;2023-05-20;2;turistahaz;gyalogos;normal;14.4;;628;;;;0;0;0;7;34
337;"Sárga 40km TT";HU;Pilis;2023-05-01;1;;gyalogos;normal;40;;1164;;9;;0;0;0;0;83
336;"**Sárga 30km éjszakai TT";HU;Pilis;2023-04-30;1;;gyalogos;normal;31;;1000;;8;;0;0;0;0;67
338;"Nagykovácsi - Ilona-lak";HU;Budai-hegység;2023-04-22;2;sator;gyalogos;normal;21;;500;;5;vandor;1;0;0;0;45
335;"Kőről kőre a Velencei hegységben instant";HU;Bakony;2023-04-16;1;;gyalogos;normal;19;;511;;6;;0;0;0;0;39
333;"Gerecse 50";HU;Gerecse;2023-04-15;1;;gyalogos;normal;49;;1555;;10;;0;0;0;0;105
332;**;HU;Vértes;2023-04-01;2;turistahaz;gyalogos;normal;46;;886;;13;csillag;1;0;0;0;88
334;"OKT-10 + Túravezető tanfolyam";HU;Gerecse;2023-03-31;4;turistahaz;gyalogos;normal;71;;1513;;18;vandor;4;0;0;0;149
331;"X. Strázsa Petőfi Emlék - Teljesítménytúra 31 km";HU;Alföld;2023-03-25;1;;gyalogos;normal;31;;85;;7;;0;0;0;0;51
328;"Zemplén Regéc-Makkoshotyka";HU;Zemplén;2023-03-18;1;;gyalogos;normal;25;;592;;;;0;0;0;0;49
329;"Hiúz Ház";HU;Börzsöny;2023-03-18;2;turistahaz;gyalogos;normal;27;;1223;;12;csillag;1;0;0;0;66
330;"Kincsem 40 Teljesítménytúra";HU;Tápióvidék;2023-03-18;1;;gyalogos;normal;40;;84;;6;;0;0;0;0;65
327;;HU;Zemplén;2023-02-25;1;;gyalogos;normal;15;;493;;;;0;0;0;0;35
324;"Kitörés 25";HU;Budai-hegység;2023-02-11;1;;gyalogos;normal;23;;951;;6;;0;0;0;0;57
325;"Szlovák Paradicsom Télen";SK;"Slovensky raj";2023-02-11;2;turistahaz;gyalogos;normal;21;;817;;10;csillag;2;0;0;11;56
326;"Téli Margita 40 TT";HU;"Gödöllői dombság";2023-02-11;1;;gyalogos;normal;40;;650;;9;;0;0;0;0;76
518GY;"Túra a szaunába";HU;Budai-hegység;2023-02-02;1;;gyalogos;normal;13.6;;420;;;;0;0;0;2;32
323;**;HU;Budai-hegység;2023-01-29;1;;gyalogos;normal;17;;453;;4;;0;0;0;0;38
320;"Pest Megyei Piros jelvényszerző túramozgalom";HU;"Pesti síkság";2023-01-28;1;;gyalogos;normal;25;;60;;7;;0;0;0;0;45
321;;HU;Kőszegi-hegység;2023-01-28;1;;gyalogos;normal;15;;296;;;;0;0;0;0;31
